見出し	変更内容	備考
sunga	Notesの一部削除(`sluni （上位概念）&lt; {`)	コミットe3836be;報告ツイートhttps://twitter.com/yamarten/status/1348173486754123779;sluniの追加は当時も日本語版のみのため暫定的に削除で対応
kubli	記述の調整・充実	コミットbf487d8のxml11167-9行目;(.ia ju'ocu'i gau la .guskant. io xu)
